"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Eximbay) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Eximbay) - International"
"Merchant ID","Merchant ID"
"Enabled","Enabled"
"Loading secure payment page (SSL)","Loading secure payment page (SSL)"
"Eximbay","Eximbay"
"Eximbay Settings","Eximbay Settings"
"Eximbay Transaction ID: %s","Eximbay Transaction ID: %s"
"More information about Eximbay","More information about Eximbay"
"Order ID","Order ID"
"Payment failed.","Payment failed."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment has not been processed yet.","Payment has not been processed yet."
"Payment was canceled.","Payment was canceled."
"Please pay your order now","Please pay your order now"
"Powered by Eximbay","Powered by Eximbay"
"Sort Order","Sort Order"
"The amount has been authorized and captured by Eximbay.","The amount has been authorized and captured by Eximbay."
"The customer was redirected to Eximbay.","The customer was redirected to Eximbay."
"The order has been canceled.","The order has been canceled."
"Title","Title"
"You will be redirected to our secure payment page when you place an order.","You will be redirected to our secure payment page when you place an order."
